cmd,count
sh,49727
cat,27921
netscape,26358
generic,25387
ls,23481
popper,21468
date,17176
sendmail,16950
rm,14001
sed,13369
nawk,13343
tcsh,12536
grep,10422
gcc,9459
tcpostio,8894
hostname,7712
true,7531
uname,7529
expr,7476
ln,7463
rshd,6689
ksh,6542
more,6036
driver,5929
lp,5264
launchef,4987
ex,4953
rdistd,4831
cpp,4735
LOCK,4593
FIFO,4560
echo,4417
configur,4154
virtex,4095
MediaMai,3995
gs,3770
awk,3718
cc1,3654
make,3644
find,3589
tail,3470
as,3277
mail,3251
stty,3195
cfe,3057
mailx,3056
id,2992
getopt,2962
csh,2936
post,2928
ld_,2846
egrep,2816
gettxt,2754
fgrep,2588
gethost,2528
engine,2463
download,2359
ugen,2324
as1,2324
file,2306
getpgrp,2300
xterm,2271
tcppost,2239
tput,2062
movemail,1935
rmdir,1864
sort,1833
less,1826
dvips,1809
maple.sy,1802
tset,1762
tr,1717
UNLOCK,1692
dirname,1650
[,1648
pwd,1578
be,1554
ghostvie,1549
ppost,1440
mkdir,1411
ld,1365
Mail,1333
test,1294
nm,1283
pq,1256
endsessi,1254
p,1243
wc,1212
mc,1176
fec,1173
lc,1147
rlogin,1106
emacs-20,1080
mkpts,1025
acroread,1015
java,993
tellwm,978
xrdb,968
man,930
toolches,923
col,855
purify.s,854
cgiparse,854
gmake,848
basename,841
finger,821
ar,805
hpost,784
xwsh,776
ds_ar,772
reaper,771
telnet,748
netstat,746
uopt,741
xsetroot,723
tbl,717
touch,711
rsh,700
4Dwm,695
xdm,693
xhost,667
xprop,653
tty,641
gordon,627
fecc,626
xconfirm,611
wait4wm,596
pr,589
mapleTTY,584
env,584
vim,568
userenv,556
elm,553
chmod,552
ps,545
cut,539
sleep,522
spec,514
spell,512
.java_wr,508
bc,505
ping,492
postprin,480
my.ls,479
whoami,479
gre,476
q_test,459
list2.pl,452
xclock,443
xset,443
dvipost,439
unpack,437
xupdate,423
lmstat,420
mimencod,407
nroff,399
flex,386
.xinitrc,384
xdvi.rea,375
xdvi,375
dpost,371
w3c,371
neqn,367
inline,364
troff,359
eqn,354
htn_repo,350
bash,348
ld64_,348
aacdec,336
arch,332
Archie,313
head,310
diff,307
a.out,305
bison,303
ul,301
detail_o,300
rcp,296
enc,291
metamail,286
stream_t,282
msort,280
magma.ex,279
ftp,271
call_fil,268
gzip,266
showps,242
nm_elf,242
drag,240
keep_up,236
flock,236
javac,235
edg_prel,235
aiffplay,230
kill,220
Sqpe,212
mp,212
compress,206
frm,201
gdb,197
which,196
cpio,195
faces,193
dd,193
ama.chec,191
m4,186
do.hourl,175
psnr,175
time,175
config.s,164
btcreat,160
x3270,160
mesg,159
fmt,147
print_ca,147
hightoll,145
resize,143
xgvis,143
ssh,142
euphony3,139
v10sort,138
btbuild,138
join,134
sprog,133
xv,131
xemacs-1,129
xbiff,126
xrt_auth,124
sdec,123
MakeTeXP,122
mywsh,118
z,117
window_t,115
efm,113
dig,108
xmodmap,107
Reducyr,107
overlap,106
xauth,105
Tracy,103
tar,103
news,96
detex,94
gawk,93
drawgrap,93
scatter_,93
xmkmf,91
imake,91
ddd,89
R,87
PLATFORM,87
Slmhelpe,86
Slmclien,86
appdefpa,85
fig2dev,84
help,82
deroff,82
q_eg,81
twm,81
tel,80
aus,79
printf,77
list.pl,76
du,75
ns-insta,74
rootless,74
do.priso,73
ispell,72
calendar,72
df,72
matlab_l,71
uniq,70
config.g,69
mycut2,69
matlab,69
pcst,69
bdftopcf,68
lks,68
cdec,68
cxwsh,67
mycut,67
Stat_Ind,66
Sizup,65
extract_,65
graph_te,65
top,64
crypt,64
.xsessio,63
xgobi,63
ncdquery,62
heartche,62
register,62
rtslave,61
xmineswe,61
rexecd,60
xdpyinfo,59
fxstat,57
dbxpcs,56
dbx,56
xrn,55
lpdsend,55
perl,55
prison_r,54
bindkey,54
bibtex,54
uuname,54
tektroni,54
uudecode,54
cal,53
nslookup,53
xmaplev5,52
field,52
q_egtest,51
whereis,50
mplotx11,48
dev.moti,48
help.sor,47
htn_edit,47
help.fin,47
whois,46
who,45
showcal,44
nlcrack,44
xfig,44
findobj,43
lpq,43
print_do,43
awk.html,42
drf,42
lex.spec,39
nscal,39
print_us,38
sgihelp,38
tracerou,37
vinay,37
kmist,37
w,37
conftest,36
hippo,36
help.top,35
ed,34
ntrim,34
get_acc_,34
xcalenda,33
xt,33
cmp,33
xman,33
vacation,32
paste,32
augment_,32
xcalc,32
pine,31
get.line,30
OLI.sh,30
xargs,30
tcm8,29
addrinfo,29
tee,29
lpr,29
prison_f,28
xinitrem,28
convert,28
Xremote,28
pg,28
test2.pl,27
calldd,26
cmex,26
gsftopk,26
nlz,25
xcal,25
shownona,24
concorde,24
fold,24
mailp,24
get_acc,23
a.sl,23
lec.awk,22
false,22
justlex,22
