cmd,count
movemail,1150
netscape,1103
ls,868
csh,734
generic,674
sendmail,583
sh,567
cat,514
launchef,486
hostname,462
mail,317
date,284
tcsh,251
rm,248
rshd,233
tset,232
rlogin,232
rdistd,231
finger,227
stty,227
true,194
gettxt,184
ln,181
emacs-20,174
tcpostio,166
tput,158
virtex,154
grep,148
gs,147
lp,130
sed,124
more,121
LOCK,121
FIFO,121
post,102
expr,100
nawk,99
resize,99
ghostvie,96
cpp,95
xrdb,95
find,92
endsessi,92
tellwm,90
pwd,87
netstat,73
gethost,71
id,69
getopt,69
download,68
xwsh,68
getpgrp,60
xhost,60
awk,57
file,57
xterm,53
mkdir,51
man,50
rmdir,49
xsetroot,48
wait4wm,48
env,48
kill,48
userenv,48
reaper,48
UNLOCK,48
toolches,48
ps,47
xdm,47
4Dwm,47
mkpts,47
xconfirm,46
xprop,46
tcppost,42
xclock,37
lmstat,36
dvips,29
ul,28
xdvi,28
unpack,28
col,28
xdvi.rea,28
faces,28
pq,22
maple.sy,21
uname,20
tektroni,19
xbiff,19
lpdsend,19
ppost,18
chmod,15
touch,14
acroread,11
telnet,11
gzip,10
compress,10
lks,9
tar,9
tail,9
nslookup,7
xmaplev5,7
dirname,7
sleep,7
gawk,6
bc,6
matlab_l,6
arch,6
postprin,6
hpost,6
matlab,6
aacdec,5
ex,5
ping,4
aiffplay,4
ispell,4
MakeTeXP,4
egrep,4
soundpla,3
uudecode,3
bibtex,3
MediaMai,3
uuencode,3
virmf,2
ssh,2
xcalc,2
df,2
gftopk,2
whereis,2
which,2
xfig,2
pr,2
nscal,1
whoami,1
xv,1
lpr,1
xauth,1
f2ps,1
head,1
