rep,learning_rate,steps,classifier,feature_column,train_auc_precision_recall,train_recall,train_average_loss,train_accuracy_baseline,train_accuracy,train_auc,train_loss,train_label/mean,train_precision,train_global_step,train_prediction/mean,test_auc_precision_recall,test_recall,test_average_loss,test_accuracy_baseline,test_accuracy,test_auc,test_loss,test_label/mean,test_precision,test_global_step,test_prediction/mean
0,0.1,500,linear classifier,categorical column with vocabulary list,0.5510309,0.37931034,0.16921644,0.94200003,0.954,0.8894869,0.16921644,0.058,0.6875,500,0.03703086,0.5133083,0.275,0.25845608,0.92,0.94,0.80187494,0.25845608,0.08,0.9166667,500,0.036078803
0,0.1,500,"dnn classifier with [4, 4] hidden_units",indicator column,0.5776907,0.0,0.13845077,0.95,0.95,0.8970947,0.13845077,0.05,0.0,500,0.019351887,0.43034232,0.0,0.36047754,0.9,0.9,0.79017776,0.36047754,0.1,0.0,500,0.019908108
0,0.1,500,"dnn classifier with [4, 4] hidden_units",2 dim embedding column,0.08640384,0.0,0.23640297,0.938,0.938,0.6498384,0.23640297,0.062,0.0,500,0.03280473,0.102387235,0.0,0.32502025,0.912,0.912,0.59158194,0.32502025,0.088,0.0,500,0.03250846
0,0.1,500,"dnn classifier with [4, 4] hidden_units",4 dim embedding column,0.1679471,0.0,0.21115121,0.94200003,0.942,0.5746761,0.21115121,0.058,0.0,500,0.04561076,0.17051794,0.0,0.28346288,0.918,0.918,0.6503534,0.28346288,0.082,0.0,500,0.04238543
0,0.1,500,"dnn classifier with [4, 4] hidden_units",10 dim embedding column,0.31945553,0.0,0.2170971,0.936,0.936,0.82729036,0.2170971,0.064,0.0,500,0.088998675,0.1563179,0.0,0.27687302,0.914,0.914,0.7004987,0.27687302,0.086,0.0,500,0.08918182
0,0.1,500,"dnn classifier with [4, 4] hidden_units",100 dim embedding column,0.47440314,0.0,0.1811593,0.944,0.944,0.8347837,0.1811593,0.056,0.0,500,0.040575847,0.1818818,0.0,0.2624847,0.922,0.922,0.71227545,0.2624847,0.078,0.0,500,0.040920027
0,0.1,500,"dnn classifier with [10, 10] hidden_units",indicator column,0.5542444,0.0,0.21144967,0.934,0.934,0.86185205,0.21144967,0.066,0.0,500,0.016233604,0.41212907,0.0,0.25549218,0.926,0.926,0.82193094,0.25549218,0.074,0.0,500,0.018248515
0,0.1,500,"dnn classifier with [10, 10] hidden_units",2 dim embedding column,0.051660754,0.0,0.22040077,0.948,0.948,0.533309,0.22040077,0.052,0.0,500,0.021400912,0.06709583,0.0,0.3070334,0.926,0.926,0.52457535,0.3070334,0.074,0.0,500,0.020773903
0,0.1,500,"dnn classifier with [10, 10] hidden_units",4 dim embedding column,0.31284308,0.0,0.20203277,0.938,0.938,0.85418534,0.20203277,0.062,0.0,500,0.03928053,0.35247102,0.0,0.25788558,0.92,0.92,0.7997282,0.25788558,0.08,0.0,500,0.04056466
0,0.1,500,"dnn classifier with [10, 10] hidden_units",10 dim embedding column,0.34080395,0.0,0.18754031,0.944,0.944,0.78798425,0.18754031,0.056,0.0,500,0.055727724,0.1488415,0.0,0.25130445,0.924,0.924,0.7546138,0.25130445,0.076,0.0,500,0.053887084
0,0.1,500,"dnn classifier with [10, 10] hidden_units",100 dim embedding column,0.3476843,0.0,0.16672184,0.95,0.95,0.8450948,0.16672184,0.05,0.0,500,0.035092775,0.28062582,0.0,0.26151758,0.922,0.922,0.7452862,0.26151758,0.078,0.0,500,0.034970853
0,0.1,500,"dnn classifier with [20, 20] hidden_units",indicator column,0.42645842,0.0,0.1877764,0.946,0.946,0.7764467,0.1877764,0.054,0.0,500,0.041250072,0.36930865,0.0,0.22428511,0.924,0.924,0.8229381,0.22428511,0.076,0.0,500,0.04778495
0,0.1,500,"dnn classifier with [20, 20] hidden_units",2 dim embedding column,0.51859474,0.0,0.22186777,0.94200003,0.942,0.58595073,0.22186777,0.058,0.0,500,0.044820353,0.5486936,0.0,0.29430628,0.918,0.918,0.58605665,0.29430628,0.082,0.0,500,0.044992432
0,0.1,500,"dnn classifier with [20, 20] hidden_units",4 dim embedding column,0.39769635,0.0,0.22102784,0.932,0.932,0.8087604,0.22102784,0.068,0.0,500,0.053024665,0.12310472,0.0,0.2786661,0.92,0.92,0.6229891,0.2786661,0.08,0.0,500,0.05235633
0,0.1,500,"dnn classifier with [20, 20] hidden_units",10 dim embedding column,0.3179026,0.0,0.23458266,0.928,0.928,0.7785261,0.23458266,0.072,0.0,500,0.046526544,0.18272823,0.0,0.25662374,0.926,0.926,0.7504816,0.25662374,0.074,0.0,500,0.043466084
0,0.1,500,"dnn classifier with [20, 20] hidden_units",100 dim embedding column,0.42762345,0.0,0.19021648,0.944,0.944,0.85074914,0.19021648,0.056,0.0,500,0.036122028,0.24454495,0.0,0.30329597,0.90999997,0.91,0.7426374,0.30329597,0.09,0.0,500,0.036391526
0,0.1,1000,linear classifier,categorical column with vocabulary list,0.6918993,0.37254903,0.11929541,0.949,0.965,0.93225056,0.11929541,0.051,0.8636364,1000,0.029157596,0.5056446,0.18518518,0.27334312,0.919,0.93,0.8440065,0.27334312,0.081,0.7894737,1000,0.026810158
0,0.1,1000,"dnn classifier with [4, 4] hidden_units",indicator column,0.6466125,0.23214285,0.12021622,0.944,0.957,0.9139111,0.12021622,0.056,1.0,1000,0.046202764,0.52136564,0.15730338,0.21904665,0.911,0.925,0.8773542,0.21904665,0.089,1.0,1000,0.04937487
